mock1	mock2	mock3	hrcc1	hrcc2	hrcc3
AT1G01010	42	41	64	55	35	97
AT1G01020	38	33	51	38	28	79
AT1G01030	18	15	43	29	21	31
AT1G01040	54	52	70	49	31	103
AT1G01050	50	61	120	67	35	76
AT1G01060	0	15	2	0	21	8
AT1G01070	13	10	26	8	6	1
AT1G01080	186	178	392	139	89	180
AT1G01090	338	346	470	199	119	394
AT1G01100	135	167	139	94	40	230
AT1G01110	0	1	1	0	0	0
AT1G01120	195	186	325	126	81	209
AT1G01130	10	8	1	0	2	13
AT1G01140	127	121	204	113	73	193
AT1G01150	0	2	0	0	0	0
AT1G01160	126	137	177	93	52	182
AT1G01170	60	53	116	29	20	40
AT1G01180	30	12	26	16	27	61
AT1G01190	0	2	3	1	1	3
AT1G01200	5	0	2	0	0	0
AT1G01210	125	155	177	143	67	271
AT1G01220	30	37	47	24	12	41
AT1G01225	3	9	10	5	0	5
AT1G01230	50	61	68	49	23	95
AT1G01240	54	68	89	41	19	66
AT1G01250	1	1	5	1	2	2
AT1G01260	21	33	43	45	18	63
AT1G01290	6	18	27	25	6	21
AT1G01300	108	96	202	128	88	189
AT1G01310	0	3	0	0	3	0
AT1G01320	537	624	1145	575	308	753
AT1G01340	23	13	31	33	33	70
AT1G01350	21	29	49	29	14	34
AT1G01355	0	0	0	0	2	0
AT1G01360	12	8	16	7	7	14
AT1G01370	0	0	3	1	2	0
AT1G01380	0	7	4	0	7	1
AT1G01390	9	12	16	8	4	11
AT1G01420	36	40	61	24	14	40
AT1G01430	101	111	174	60	33	95
AT1G01440	36	30	56	34	25	58
AT1G01448	18	23	26	13	5	24
AT1G01450	0	0	1	0	0	0
AT1G01453	0	0	2	0	0	3
AT1G01470	592	412	909	479	411	881
AT1G01480	16	22	25	84	38	148
AT1G01490	208	199	247	158	103	362
AT1G01500	53	58	74	59	32	112
AT1G01510	28	29	32	25	15	58
AT1G01520	0	0	0	0	2	1
AT1G01540	55	71	89	60	27	101
AT1G01550	305	281	543	497	327	770
AT1G01560	23	14	49	56	48	70
AT1G01570	2	1	5	2	0	0
AT1G01580	9	1	0	0	6	0
AT1G01590	0	8	12	12	5	10
AT1G01600	4	4	9	10	8	13
AT1G01610	271	331	463	194	96	315
AT1G01620	462	413	566	160	113	365
AT1G01630	63	67	135	79	47	102
AT1G01640	4	6	11	10	6	12
AT1G01650	147	133	200	160	110	326
AT1G01660	13	12	10	3	3	13
AT1G01670	6	10	9	8	1	13
AT1G01680	27	20	64	28	21	29
AT1G01690	0	7	14	7	2	1
AT1G01695	1	2	0	0	0	0
AT1G01700	0	0	2	1	0	4
AT1G01710	52	42	80	48	37	88
AT1G01720	153	161	205	188	108	378
AT1G01725	10	16	20	17	6	23
AT1G01730	43	40	58	73	49	144
AT1G01740	6	8	13	5	2	5
AT1G01750	1	0	0	2	0	2
AT1G01760	0	0	9	2	0	4
AT1G01770	20	27	46	33	17	41
AT1G01780	29	32	62	29	17	37
AT1G01790	88	99	169	98	54	141
AT1G01800	52	50	94	42	27	64
AT1G01810	4	2	7	6	6	8
AT1G01820	100	102	187	168	101	248
AT1G01830	24	35	35	10	3	18
AT1G01840	1	5	3	0	1	4
AT1G01860	40	44	77	23	12	33
AT1G01880	3	2	5	1	2	0
AT1G01900	19	26	54	20	10	19
AT1G01910	69	90	134	98	46	142
AT1G01920	7	6	16	20	14	22
AT1G01930	28	28	37	28	18	55
AT1G01940	5	7	21	27	15	19
AT1G01950	9	9	18	17	11	24
AT1G01960	80	66	127	108	80	189
AT1G01970	45	35	71	31	25	54
AT1G01990	102	117	191	131	71	194
AT1G02000	17	23	55	65	34	60
AT1G02010	19	14	16	5	7	21
AT1G02020	73	55	123	74	58	121
AT1G02030	3	2	0	1	3	1
AT1G02040	0	0	0	0	3	0
AT1G02050	0	0	3	4	3	4
AT1G02060	0	1	3	6	0	6
AT1G02065	0	5	6	7	2	6
AT1G02080	120	93	177	155	122	294
AT1G02090	111	157	198	185	77	291
AT1G02100	32	40	64	44	22	61
AT1G02110	42	33	65	27	21	48
AT1G02120	609	807	806	801	333	1602
AT1G02130	73	59	122	61	46	101
AT1G02140	168	197	333	204	108	287
AT1G02145	35	22	39	15	16	40
AT1G02150	87	91	144	68	40	114
AT1G02160	57	61	66	36	20	81
AT1G02170	227	210	298	310	208	653
AT1G02180	7	1	14	1	4	2
AT1G02190	8	2	10	3	6	6
AT1G02205	401	484	1049	358	190	379
AT1G02210	0	9	0	0	0	0
AT1G02220	17	13	37	22	17	25
AT1G02230	3	4	2	5	0	9
AT1G02260	15	20	37	25	13	30
AT1G02270	102	109	224	157	92	198
AT1G02280	26	50	93	38	14	31
AT1G02290	22	11	16	2	6	17
AT1G02300	64	66	74	23	14	54
AT1G02305	130	163	248	135	66	197
AT1G02310	0	0	2	1	0	3
AT1G02330	43	39	63	38	26	71
AT1G02335	15	6	23	18	21	31
AT1G02340	8	2	0	1	7	0
AT1G02350	0	16	0	1	2	0
AT1G02360	17	13	21	114	90	250
AT1G02370	5	8	5	5	0	10
AT1G02380	3	4	6	3	1	1
AT1G02390	46	28	85	45	41	67
AT1G02391	0	4	0	0	0	0
AT1G02400	33	18	40	59	65	141
AT1G02405	14	8	17	12	13	26
AT1G02410	32	32	50	22	14	38
AT1G02420	6	6	10	4	2	4
AT1G02430	0	0	3	8	5	9
AT1G02440	0	0	2	1	0	5
AT1G02450	40	43	135	108	64	81
AT1G02460	36	49	87	117	56	139
AT1G02470	1	0	8	6	5	1
AT1G02475	410	352	707	395	279	633
AT1G02500	654	620	1089	1295	834	2156
AT1G02510	0	0	0	0	6	0
AT1G02520	0	2	6	20	11	18
AT1G02530	0	0	0	0	2	0
AT1G02540	0	0	0	1	0	0
AT1G02550	0	0	1	0	8	0
AT1G02560	326	305	532	236	155	401
AT1G02570	0	4	0	7	2	10
AT1G02580	0	22	0	0	9	1
AT1G02590	0	0	0	1	1	0
AT1G02610	17	12	9	3	4	17
AT1G02620	7	5	3	0	1	8
AT1G02640	5	6	4	2	1	7
AT1G02650	0	1	0	5	2	8
AT1G02660	34	17	27	19	29	78
AT1G02670	0	12	0	2	0	0
AT1G02680	39	33	62	39	29	70
AT1G02681	0	0	0	0	1	0
AT1G02690	4	9	21	11	5	5
AT1G02700	0	1	1	0	0	3
AT1G02710	7	20	32	37	12	33
AT1G02720	50	43	115	64	45	74
AT1G02730	6	0	5	3	0	3
AT1G02740	7	4	16	15	15	19
AT1G02750	12	9	34	27	20	23
AT1G02770	0	10	0	0	0	0
AT1G02780	684	747	792	674	366	1547
AT1G02790	0	9	2	0	27	1
AT1G02800	0	5	1	0	2	0
AT1G02813	0	2	1	0	1	1
AT1G02816	24	18	35	27	23	50
AT1G02820	24	20	41	13	10	21
AT1G02840	64	73	99	92	49	163
AT1G02850	23	29	31	19	8	36
AT1G02860	16	17	20	14	8	27
AT1G02870	32	23	36	17	16	43
AT1G02880	34	26	40	23	19	53
AT1G02890	104	121	205	165	88	233
AT1G02900	3	0	1	0	1	3
AT1G02910	76	92	90	57	26	125
AT1G02920	212	193	346	1913	1279	3247
AT1G02930	1043	758	1471	4023	3399	8147
AT1G02940	0	8	5	0	1	7
AT1G02950	9	11	9	4	1	8
AT1G02960	12	13	22	11	6	15
AT1G02970	1	2	5	3	2	0
AT1G02980	0	7	0	2	4	0
AT1G02990	32	34	51	32	18	54
AT1G03000	35	26	38	25	22	64
AT1G03010	0	3	1	0	0	0
AT1G03020	0	2	2	0	2	2
AT1G03022	0	0	0	0	3	0
AT1G03030	22	12	41	35	32	51
AT1G03040	119	117	245	186	116	249
AT1G03050	0	15	1	0	4	1
AT1G03055	6	19	20	9	1	8
AT1G03060	38	54	62	86	34	144
AT1G03070	8	0	0	2	0	0
AT1G03080	163	148	216	176	120	365
AT1G03090	19	20	32	21	12	34
AT1G03100	6	0	5	1	6	7
AT1G03103	0	0	0	0	6	0
AT1G03106	0	5	0	0	2	0
AT1G03110	19	9	13	1	6	15
AT1G03120	0	0	1	0	0	1
AT1G03130	5752	4310	9470	4836	3835	8190
AT1G03140	73	85	115	103	53	177
AT1G03150	23	26	29	32	17	67
AT1G03160	97	105	185	110	63	160
AT1G03170	0	20	1	0	5	0
AT1G03180	0	4	5	5	1	4
AT1G03190	10	13	18	17	9	27
AT1G03200	9	1	11	4	10	12
AT1G03210	37	23	47	24	23	54
AT1G03220	320	251	209	270	258	1153
AT1G03230	88	62	123	105	91	213
AT1G03250	38	31	64	41	31	66
AT1G03260	10	19	27	25	9	30
AT1G03270	1	2	3	0	1	1
AT1G03280	50	36	65	41	36	88
AT1G03290	68	65	117	103	66	164
AT1G03300	4	3	4	0	0	1
AT1G03310	65	51	110	27	21	42
AT1G03320	1	0	0	0	5	0
AT1G03330	21	27	45	37	18	47
AT1G03340	2	3	8	9	5	5
AT1G03350	75	93	104	75	34	143
AT1G03360	5	3	9	9	8	13
AT1G03370	118	124	172	209	120	392
AT1G03380	64	53	93	57	43	110
AT1G03390	0	3	0	0	0	0
AT1G03400	62	58	137	108	70	135
AT1G03410	8	5	11	7	7	13
AT1G03420	0	0	1	0	0	0
AT1G03430	42	45	46	17	9	41
AT1G03440	34	23	49	19	18	37
AT1G03445	0	0	1	0	0	0
AT1G03457	8	4	1	0	4	13
AT1G03470	1	6	7	10	3	8
AT1G03475	398	510	695	427	200	680
AT1G03490	0	4	0	0	8	0
AT1G03495	0	2	4	1	3	5
AT1G03502	0	2	0	1	1	1
AT1G03506	0	0	0	2	0	0
AT1G03510	1	5	9	4	2	3
AT1G03520	16	20	35	21	11	25
AT1G03530	53	73	67	62	24	127
AT1G03540	0	0	5	0	1	6
AT1G03550	11	13	20	11	6	16
AT1G03560	14	19	12	5	0	15
AT1G03580	0	0	1	2	0	0
AT1G03590	50	30	61	35	36	83
AT1G03600	1810	1542	4708	1790	1208	1771
AT1G03610	92	76	124	123	93	253
AT1G03620	4	0	1	1	4	0
AT1G03630	234	264	507	140	77	179
AT1G03650	5	1	6	4	1	7
AT1G03660	4	0	0	0	0	0
AT1G03680	679	714	1078	455	265	792
AT1G03687	8	8	9	3	0	7
AT1G03700	0	0	0	0	2	1
AT1G03710	0	0	0	2	1	0
AT1G03730	20	20	42	46	29	60
AT1G03740	79	77	144	170	108	259
AT1G03746	0	0	0	0	2	0
AT1G03750	24	17	31	11	10	24
AT1G03760	15	29	25	24	5	39
AT1G03770	7	1	7	6	9	15
AT1G03780	0	0	1	3	3	0
AT1G03790	0	2	1	4	3	1
AT1G03800	0	0	0	0	0	1
AT1G03820	7	8	25	5	4	0
AT1G03830	10	13	23	13	7	15
AT1G03840	3	1	3	2	1	4
AT1G03850	51	50	70	95	58	185
AT1G03860	61	50	143	151	105	169
AT1G03870	44	49	45	13	6	33
AT1G03880	0	6	0	0	5	0
AT1G03890	0	3	0	1	4	0
AT1G03900	138	133	193	165	106	325
AT1G03905	0	0	3	5	3	4
AT1G03910	73	67	128	87	57	134
AT1G03920	7	10	13	6	3	8
AT1G03930	41	47	59	41	21	75
AT1G03935	0	0	0	3	0	0
