mock1	mock2	mock3	hrcc1	hrcc2	hrcc3
AT1G01010	41	40	68	55	36	93
AT1G01020	39	32	54	38	29	75
AT1G01030	16	17	45	30	20	30
AT1G01040	55	52	75	48	30	100
AT1G01050	46	61	110	71	32	88
AT1G01060	0	15	2	0	21	8
AT1G01070	14	10	24	6	5	1
AT1G01080	197	195	343	130	77	217
AT1G01090	326	329	548	207	124	340
AT1G01100	143	149	122	80	49	262
AT1G01110	0	1	1	0	0	0
AT1G01120	191	190	325	130	77	214
AT1G01130	12	6	1	0	1	13
AT1G01140	124	119	210	116	72	193
AT1G01150	0	2	0	0	0	0
AT1G01160	126	128	204	93	56	159
AT1G01170	60	58	104	29	17	48
AT1G01180	34	14	23	15	24	62
AT1G01190	0	2	3	1	1	3
AT1G01200	5	0	2	0	0	0
AT1G01210	119	149	180	144	71	270
AT1G01220	32	33	53	22	13	36
AT1G01225	1	11	8	3	0	1
AT1G01230	53	57	64	44	25	100
AT1G01240	59	61	98	36	22	60
AT1G01250	1	1	5	1	2	2
AT1G01260	24	36	41	42	15	66
AT1G01290	9	19	29	22	5	16
AT1G01300	106	99	210	128	85	184
AT1G01310	0	3	0	0	3	0
AT1G01320	559	622	1064	553	300	834
AT1G01340	15	17	28	41	29	74
AT1G01350	21	28	47	30	13	38
AT1G01355	0	0	0	0	2	0
AT1G01360	11	7	16	7	7	14
AT1G01370	0	0	3	1	2	0
AT1G01380	0	7	4	0	7	1
AT1G01390	9	11	17	8	4	11
AT1G01420	37	38	63	23	14	39
AT1G01430	104	106	178	57	35	95
AT1G01440	36	30	57	34	25	59
AT1G01448	19	21	32	11	7	18
AT1G01450	0	0	1	0	0	0
AT1G01453	0	0	2	0	0	3
AT1G01470	591	429	1003	476	399	783
AT1G01480	17	18	30	78	46	130
AT1G01490	201	201	251	165	98	368
AT1G01500	53	58	80	59	31	108
AT1G01510	29	29	37	25	14	55
AT1G01520	0	0	0	0	2	1
AT1G01540	55	66	89	58	30	100
AT1G01550	295	299	505	507	308	837
AT1G01560	19	20	32	60	40	96
AT1G01570	3	1	5	1	0	0
AT1G01580	9	1	0	0	6	0
AT1G01590	0	9	13	11	4	10
AT1G01600	4	5	9	10	7	12
AT1G01610	292	300	501	176	107	293
AT1G01620	414	410	681	186	111	302
AT1G01630	61	65	128	81	47	111
AT1G01640	5	5	11	10	6	12
AT1G01650	149	128	219	157	112	305
AT1G01660	12	12	9	4	3	13
AT1G01670	5	9	8	8	1	13
AT1G01680	27	19	56	25	22	36
AT1G01690	0	6	12	11	1	1
AT1G01695	1	2	0	0	0	0
AT1G01700	0	0	2	1	0	4
AT1G01710	52	42	80	48	37	88
AT1G01720	141	165	236	198	104	342
AT1G01725	9	16	20	17	6	23
AT1G01730	38	39	66	79	49	133
AT1G01740	6	8	13	5	2	6
AT1G01750	1	0	0	2	0	2
AT1G01760	0	0	9	2	0	4
AT1G01770	21	26	47	32	16	42
AT1G01780	30	34	57	29	15	43
AT1G01790	89	97	166	99	52	150
AT1G01800	53	50	90	42	25	70
AT1G01810	3	3	6	6	6	8
AT1G01820	103	103	175	164	99	268
AT1G01830	27	29	43	8	5	12
AT1G01840	1	4	3	0	1	3
AT1G01860	42	42	74	21	12	37
AT1G01880	3	2	4	1	2	0
AT1G01900	19	27	46	20	9	25
AT1G01910	70	88	135	98	46	144
AT1G01920	7	7	11	19	12	28
AT1G01930	28	28	40	28	17	53
AT1G01940	7	6	20	23	14	18
AT1G01950	9	9	16	17	11	26
AT1G01960	70	72	122	118	74	198
AT1G01970	43	34	71	33	25	54
AT1G01990	103	117	193	130	69	198
AT1G02000	22	22	42	57	34	75
AT1G02010	17	15	14	7	4	22
AT1G02020	75	59	127	70	56	118
AT1G02030	3	2	0	1	3	1
AT1G02040	0	0	0	0	3	0
AT1G02050	0	0	3	4	3	5
AT1G02060	0	1	1	7	0	6
AT1G02065	0	5	6	6	2	6
AT1G02080	99	103	174	177	112	301
AT1G02090	113	162	194	180	75	296
AT1G02100	31	39	65	45	21	63
AT1G02110	39	31	66	29	22	48
AT1G02120	507	814	879	890	345	1498
AT1G02130	71	56	120	62	48	103
AT1G02140	165	194	329	208	106	298
AT1G02145	31	20	41	19	17	37
AT1G02150	88	88	149	68	40	113
AT1G02160	56	57	65	36	22	83
AT1G02170	198	201	345	347	212	588
AT1G02180	6	1	12	1	5	3
AT1G02190	8	3	10	3	6	4
AT1G02205	489	500	875	286	174	487
AT1G02210	0	9	0	0	0	0
AT1G02220	15	14	38	23	16	25
AT1G02230	2	4	3	5	0	8
AT1G02260	16	20	37	24	13	31
AT1G02270	105	106	230	152	92	197
AT1G02280	19	47	80	48	14	38
AT1G02290	18	9	18	5	5	12
AT1G02300	60	61	96	25	15	40
AT1G02305	138	151	255	127	70	195
AT1G02310	0	0	2	1	0	3
AT1G02330	43	38	64	38	26	72
AT1G02335	12	9	15	19	17	36
AT1G02340	8	2	0	1	7	0
AT1G02350	0	16	0	1	2	0
AT1G02360	14	15	24	133	83	229
AT1G02370	2	10	1	1	0	9
AT1G02380	3	3	6	2	1	1
AT1G02390	47	33	92	40	38	59
AT1G02391	0	4	0	0	0	0
AT1G02400	22	24	40	78	54	140
AT1G02405	14	9	15	11	12	27
AT1G02410	32	31	53	23	13	37
AT1G02420	6	6	10	3	2	6
AT1G02430	0	0	1	10	5	10
AT1G02440	0	0	2	1	0	5
AT1G02450	43	43	150	102	62	77
AT1G02460	44	43	74	102	60	162
AT1G02470	2	0	9	6	5	1
AT1G02475	414	349	706	388	279	644
AT1G02500	632	638	1087	1327	804	2203
AT1G02510	0	0	0	0	6	0
AT1G02520	0	1	1	23	9	16
AT1G02530	0	0	0	0	2	0
AT1G02540	0	0	0	1	0	0
AT1G02550	0	0	1	0	8	0
AT1G02560	315	314	537	246	146	407
AT1G02570	0	4	0	6	2	9
AT1G02580	0	22	0	0	9	1
AT1G02590	0	0	0	1	1	0
AT1G02610	14	12	7	5	3	20
AT1G02620	9	4	1	0	1	8
AT1G02640	5	5	4	2	1	7
AT1G02650	0	1	0	3	2	9
AT1G02660	39	17	29	19	27	72
AT1G02670	0	12	0	2	0	0
AT1G02680	38	33	61	40	29	71
AT1G02681	0	0	0	0	1	0
AT1G02690	4	9	19	11	4	8
AT1G02700	0	1	1	0	0	3
AT1G02710	11	21	28	32	9	32
AT1G02720	46	44	110	65	44	80
AT1G02730	6	0	5	3	0	3
AT1G02740	5	6	10	15	12	25
AT1G02750	10	11	40	27	18	19
AT1G02770	0	10	0	0	0	0
AT1G02780	755	765	908	586	354	1416
AT1G02790	0	9	2	0	27	1
AT1G02800	0	5	1	0	2	0
AT1G02813	0	2	1	0	1	1
AT1G02816	24	20	32	27	21	53
AT1G02820	23	20	40	14	9	23
