mock1	mock2	mock3	hrcc1	hrcc2	hrcc3
AT1G01010	4.26710711924726	5.3457258850269	3.71420540247362	4.48864978923992	5.65135529985519	4.15922788381142
AT1G01020	4.5521318106737	4.59218295364943	3.41556221297267	4.39517722228552	4.95238986115826	3.8824483557854
AT1G01030	3.21189390923674	3.72931853084422	3.14241029240872	3.75809530063921	4.80081239033473	2.70600868984855
AT1G01040	5.27447768193677	4.52896899321069	4.35662976306372	4.99275122713358	4.33296294789237	4.72101423802223
AT1G01050	4.73413033992193	5.36395299147553	4.83099991670141	5.01386850103984	5.15352391810584	4.15922788381142
AT1G01060	-0.227364028551974	3.10594652015128	0.553573055531478	-0.227364028551972	4.09302457708743	1.64273493348888
AT1G01070	3.21189390923674	4.20422823776007	1.43015695586798	2.3446806875652	4.0262413270455	0.186172722315994
AT1G01080	6.49547179926221	6.63816632108277	6.88309418223887	5.91833055067503	6.25753335596826	5.72865220072236
AT1G01090	7.26526573916207	7.48981262543172	7.43929607998713	6.34224567315051	6.49830291257878	7.01459073876951
AT1G01100	5.9131330539468	6.03303950979058	6.25394022220067	5.22779244111533	4.43945768414068	6.68950538281071
AT1G01110	-0.227364028551974	0.455461484128417	0.215312302159581	-0.227364028551972	-0.227364028551972	-0.227364028551972
AT1G01120	6.91549218563337	6.6231108331857	6.38680525863945	6.12654318691631	6.02077098936078	5.64936875136716
AT1G01130	2.48172370401135	2.70961997599777	0.215312302159581	-0.227364028551972	1.261918055862	1.76812903466649
AT1G01140	6.58509644382446	5.97492974850659	5.47295102601952	6.25625313503248	5.83815379045386	5.27982509713701
AT1G01150	-0.227364028551974	0.917048666494453	-0.227364028551972	-0.227364028551972	-0.227364028551972	-0.227364028551972
AT1G01160	5.96261948440924	6.03303950979058	6.06194494604783	5.36559258199674	5.18447990548639	5.92993800337456
AT1G01170	5.31314528433394	4.92242352731968	4.70091672601886	4.1501807334325	4.15685268027146	3.18222581400055
AT1G01180	4.64599910379632	2.16136674173328	3.14241029240872	3.59951083849834	3.88261752720328	4.11269470257595
AT1G01190	-0.227364028551974	1.26620227614009	0.553573055531478	0.404543855625845	1.261918055862	0.507199618238587
AT1G01200	1.80023834097305	-0.227364028551974	0.553573055531478	-0.227364028551972	-0.227364028551972	-0.227364028551972
AT1G01210	6.5612003035294	6.72534186820897	4.95031789965966	6.60135192912777	6.02077098936078	5.37160944093653
AT1G01220	3.86025049475291	4.71086294879922	3.71420540247362	3.42131667995142	3.63619710397291	3.39160287814858
AT1G01225	1.56416395532826	2.59083335725275	1.43015695586798	1.87619319683489	-0.227364028551972	0.769632911862663
AT1G01230	5.27447768193677	4.76673191050405	4.22082006665793	5.07542673278299	3.88261752720328	4.50381509949048
AT1G01240	5.44086070704785	5.55058097643499	3.87365968629155	4.90504833452608	4.27661482790417	3.35208807896461
AT1G01250	0.464575073124142	0.455461484128417	1.25580240665599	0.404543855625845	1.261918055862	0.507199618238587
AT1G01260	3.1276240986126	4.79387546429392	3.60932378968836	4.03094580602366	4.43945768414068	4.01486816830055
AT1G01290	2.18085150932518	3.19008208927518	2.98362255433876	3.90096133838315	2.23697249558669	2.64191405346219
AT1G01300	5.33209726105418	5.91438081638158	6.1703808062288	5.41405337606085	6.40938140101928	6.0082891971638
AT1G01310	-0.227364028551974	1.26620227614009	-0.227364028551972	-0.227364028551972	1.66453669086968	-0.227364028551972
AT1G01320	7.88814037795547	8.2569173758977	8.77070223092925	7.83042758988984	7.81697617955482	8.10203259578432
AT1G01340	3.96109182423462	2.16136674173328	3.71420540247362	4.29522639383534	4.09302457708743	4.73644221128858
AT1G01350	4.05534270905989	3.61221000124202	3.81197630871125	4.32931856080395	3.09995854646356	3.26965544216106
AT1G01355	-0.227364028551974	-0.227364028551974	-0.227364028551972	-0.227364028551972	1.261918055862	-0.227364028551972
AT1G01360	2.94270422858244	2.16136674173328	2.27562913924399	2.20476781725801	2.64570562158733	1.99030648837453
AT1G01370	-0.227364028551974	-0.227364028551974	0.553573055531478	0.404543855625845	1.261918055862	-0.227364028551972
AT1G01380	-0.227364028551974	2.16136674173328	1.05744213861	-0.227364028551972	2.64570562158733	0.186172722315994
AT1G01390	2.33911674780811	3.01659877080969	2.27562913924399	2.04981449214621	1.97896182775539	1.76812903466649
AT1G01420	4.1860920178689	4.32078789673986	4.50043411468416	3.48319272857573	3.33883666430418	3.79673975762256
AT1G01430	5.95040610134877	5.85117893785327	5.56930483433809	5.05519777100281	4.67566832897405	4.60813599879195
AT1G01440	4.22716817317105	4.16318399660155	4.07088450959939	3.98890560407799	4.43945768414068	4.01486816830055
AT1G01448	3.1276240986126	3.19008208927518	3.87365968629155	2.58938763496685	1.66453669086968	3.57440879812803
AT1G01450	-0.227364028551974	-0.227364028551974	0.215312302159581	-0.227364028551972	-0.227364028551972	-0.227364028551972
AT1G01453	-0.227364028551974	-0.227364028551974	0.553573055531478	-0.227364028551972	-0.227364028551972	0.769632911862663
AT1G01470	8.44222695779237	8.18697324978036	7.4720697094483	7.96662675593063	8.83877288718436	7.33144002842046
AT1G01480	2.61149369917774	4.94681368019233	2.44774038519952	4.65917985854508	6.24290240033168	4.68965433801571
AT1G01490	7.39259304088837	6.98290003349662	5.43253238653761	6.83286403547856	6.57038869231069	5.77421177343217
AT1G01500	4.81718636903798	4.42863026174384	5.12534806791654	4.81166682363519	4.09302457708743	5.53932329998165
AT1G01510	4.00898680298057	3.72931853084422	3.64513823483652	3.70714641752364	3.33883666430418	4.24802002563286
AT1G01520	-0.227364028551974	-0.227364028551974	-0.227364028551972	-0.227364028551972	1.261918055862	0.186172722315994
AT1G01540	4.9209758109477	5.3457258850269	4.68379956978844	4.88226347541913	4.48989523191756	4.70541949521277
AT1G01550	7.39259304088837	6.66045900117256	7.82419698924327	7.93376333625091	7.4852686498621	8.24102248800299
AT1G01560	3.21189390923674	3.10594652015128	4.17255243254472	4.26030905988212	5.51187052159325	4.68965433801571
AT1G01570	1.80023834097305	0.455461484128417	1.05744213861	1.17799599203002	-0.227364028551972	-0.227364028551972
AT1G01580	2.48172370401135	0.455461484128417	-0.227364028551972	-0.227364028551972	2.45576579198029	-0.227364028551972
AT1G01590	-0.227364028551974	5.4172920513528	1.05744213861	1.45000965286948	5.21478559752935	0.769632911862663
AT1G01600	1.28175415827609	3.01659877080969	0.827394073748647	2.20476781725801	4.38719272693934	0.991595813941073
AT1G01610	7.03597498333816	7.51041395050932	7.23119056782919	6.39952915112849	6.25753335596826	6.54365979870975
AT1G01620	8.13474041701096	7.7986911665738	7.23706971382435	6.43909666227574	6.49830291257878	6.42012567582987
AT1G01630	5.21446076432106	4.97079833973628	5.38036270622228	5.3819277182827	5.05645920536967	4.93671593905211
AT1G01640	1.28175415827609	1.98417270152614	2.08016829860094	2.20476781725801	2.45576579198029	2.08975616590459
AT1G01650	6.5612003035294	5.95101424659854	5.87098768865135	6.51511778403032	6.25753335596826	6.41054002598598
AT1G01660	2.48172370401135	3.5498865939631	1.7260823703571	0.84249335003722	1.97896182775539	1.88349050426673
AT1G01670	2.61149369917774	2.16136674173328	1.58569392139098	2.79854498642085	0.701477104279844	1.88349050426673
AT1G01680	4.38068983630083	2.81936577996484	4.39919992173974	4.26030905988212	3.54372355416709	3.35208807896461
AT1G01690	-0.227364028551974	2.81936577996484	1.9715175821113	1.67878178310213	1.66453669086968	0.186172722315994
AT1G01695	0.464575073124142	0.917048666494453	-0.227364028551972	-0.227364028551972	-0.227364028551972	-0.227364028551972
AT1G01700	-0.227364028551974	-0.227364028551974	0.553573055531478	0.404543855625845	-0.227364028551972	0.991595813941073
AT1G01710	4.48597920032199	4.65274297444341	4.78358253548975	4.22452562135086	5.05645920536967	4.8112002695902
AT1G01720	6.81803051881963	6.82080559010594	5.15048614491888	6.94705208935719	6.77745429147171	5.83996204657822
AT1G01725	2.61149369917774	3.10594652015128	2.74042109193045	3.21796970568551	2.23697249558669	2.82624008760172
AT1G01730	4.76235031376928	4.52896899321069	3.87365968629155	5.36559258199674	5.38435566039649	4.97623978053642
AT1G01740	2.00306040810664	2.46138155195366	1.9715175821113	1.67878178310213	1.261918055862	0.991595813941073
AT1G01750	0.464575073124142	-0.227364028551974	-0.227364028551972	0.84249335003722	-0.227364028551972	0.507199618238587
AT1G01760	-0.227364028551974	-0.227364028551974	1.8540129577914	0.84249335003722	-0.227364028551972	0.991595813941073
